"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","LOGMARK","OFFSET","OFFSETAROUNDLATITUDE","OFFSETAROUNDLONGITUDE","SATELLITECOUNT","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869584586077","170.54657496648832","GPS Fixed Point Origin","3.1980472","3.1391842","0.6107596","0","1763871602737"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869594872013","170.54657520849693","GPS Fixed Point Origin","3.1832771","3.1277516","0.5919652","0","1763871602954"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869603184256","170.5465754675798","GPS Fixed Point Origin","3.170509","3.1185126","0.57184476","0","1763871603120"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869611737972","170.54657571813001","GPS Fixed Point Origin","3.1576962","3.1090052","0.552387","0","1763871603354"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586961849807","170.54657597862823","GPS Fixed Point Origin","3.1468143","3.1014915","0.53215665","0","1763871603572"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869625724076","170.54657622474753","GPS Fixed Point Origin","3.1357148","3.0934598","0.513043","0","1763871603736"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869630794701","170.54657647519474","GPS Fixed Point Origin","3.1270258","3.0878239","0.4935932","0","1763871603954"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586963466557","170.54657670741727","GPS Fixed Point Origin","3.1199777","3.0835216","0.47555873","0","1763871604168"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869640056477","170.54657694663686","GPS Fixed Point Origin","3.111273","3.0775297","0.45698088","0","1763871604335"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869646192983","170.5465771909508","GPS Fixed Point Origin","3.1017904","3.070709","0.4380074","0","1763871604551"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869650955305","170.5465774379381","GPS Fixed Point Origin","3.0938954","3.0654159","0.4188263","0","1763871604773"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858696571119154","170.54657768588368","GPS Fixed Point Origin","3.0845623","3.0585728","0.39957082","0","1763871604934"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869664424563","170.54657793797273","GPS Fixed Point Origin","3.0740216","3.0504448","0.37999353","0","1763871605156"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869672182432","170.54657821303832","GPS Fixed Point Origin","3.0628905","3.0418222","0.35863188","0","1763871605326"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869678296833","170.54657848577088","GPS Fixed Point Origin","3.0537283","3.035026","0.3374514","0","1763871605545"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869685090856","170.54657877530224","GPS Fixed Point Origin","3.0438144","3.0274746","0.31496635","0","1763871605767"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858696904082436","170.5465790532652","GPS Fixed Point Origin","3.035774","3.0215645","0.2933797","0","1763871605933"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858696963833296","170.5465793200445","GPS Fixed Point Origin","3.0272274","3.014923","0.27266154","0","1763871606156"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869700955627","170.5465795768327","GPS Fixed Point Origin","3.0204322","3.0098412","0.2527193","0","1763871606375"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869706848743","170.5465798179362","GPS Fixed Point Origin","3.0123928","3.0032911","0.23399517","0","1763871606537"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697139660464","170.5465800256793","GPS Fixed Point Origin","3.0032926","2.9953802","0.2178618","0","1763871606756"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869721558755","170.54658023024461","GPS Fixed Point Origin","2.993762","2.986941","0.20197521","0","1763871606972"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869727592682","170.54658042753942","GPS Fixed Point Origin","2.9860737","2.9802344","0.18665326","0","1763871607133"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697347894285","170.54658059923923","GPS Fixed Point Origin","2.9772844","2.9722354","0.17331901","0","1763871607356"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869742477413","170.54658076947274","GPS Fixed Point Origin","2.9680114","2.9636903","0.16009864","0","1763871607574"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869748528755","170.54658091353122","GPS Fixed Point Origin","2.9607115","2.9569643","0.14891103","0","1763871607737"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697557038035","170.54658104050537","GPS Fixed Point Origin","2.9522657","2.9489894","0.13905019","0","1763871607959"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869763861303","170.54658117333273","GPS Fixed Point Origin","2.9427395","2.9399223","0.1287348","0","1763871608176"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869772867574","170.54658128231907","GPS Fixed Point Origin","2.9323795","2.929912","0.120270886","0","1763871608349"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869782016185","170.54658135765956","GPS Fixed Point Origin","2.9219847","2.9197435","0.11441993","0","1763871608554"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697886550864","170.54658145106978","GPS Fixed Point Origin","2.9143355","2.9123645","0.10716567","0","1763871608731"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869793785549","170.5465815305164","GPS Fixed Point Origin","2.908416","2.906662","0.10099583","0","1763871608947"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869799604631","170.5465815732801","GPS Fixed Point Origin","2.9018385","2.9001942","0.097674794","0","1763871609158"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586980352694","170.54658159687742","GPS Fixed Point Origin","2.8974202","2.8958347","0.09584222","0","1763871609325"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869805784792","170.54658164544205","GPS Fixed Point Origin","2.8947895","2.893325","0.092070684","0","1763871609547"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858698067429366","170.54658167175435","GPS Fixed Point Origin","2.8936608","2.89226","0.09002726","0","1763871609766"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869806109144","170.54658170027767","GPS Fixed Point Origin","2.894297","2.8929646","0.08781213","0","1763871609938"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869802194866","170.5465817172753","GPS Fixed Point Origin","2.8986058","2.8973153","0.0864921","0","1763871610150"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586979818068","170.54658177088626","GPS Fixed Point Origin","2.9029446","2.9017768","0.082328655","0","1763871610378"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697941418384","170.5465818260829","GPS Fixed Point Origin","2.9073136","2.906266","0.078042075","0","1763871610540"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697901987554","170.546581858421","GPS Fixed Point Origin","2.9116285","2.9106486","0.07553069","0","1763871610759"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697864548986","170.54658187749283","GPS Fixed Point Origin","2.9157503","2.91481","0.07404957","0","1763871610927"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869782971385","170.54658190585164","GPS Fixed Point Origin","2.919566","2.9186819","0.071847215","0","1763871611144"
