"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","LOGMARK","OFFSET","OFFSETAROUNDLATITUDE","OFFSETAROUNDLONGITUDE","SATELLITECOUNT","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858705264370414","170.5465712591864","","2.2771592","2.0923305","0.8986695","0","1763783929981"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858705509213834","170.5465711746253","","2.254808","2.0651164","0.90523654","0","1763783930150"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858705777798924","170.5465710834357","","2.2303863","2.0352635","0.9123183","0","1763783930366"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85870600997611","170.54657098418664","","2.2100606","2.0094573","0.920026","0","1763783930535"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85870623821549","170.54657090982445","","2.1894557","1.984089","0.925801","0","1763783930753"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858706432132664","170.54657085776432","","2.1716712","1.9625354","0.929844","0","1763783930972"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85870662890063","170.5465707936276","","2.154084","1.9406649","0.9348249","0","1763783931143"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85870682712129","170.54657071916918","","2.1367955","1.918633","0.9406073","0","1763783931364"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85870699483977","170.546570635201","","2.1229742","1.8999913","0.9471283","0","1763783931572"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858707169985315","170.54657054428466","","2.1087549","1.880524","0.9541889","0","1763783931745"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858707321419956","170.54657044785318","","2.0971823","1.8636924","0.9616778","0","1763783931963"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858707510338405","170.54657034445734","","2.0822716","1.8426943","0.96970755","0","1763783932133"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858707674189475","170.5465702388939","","2.0700328","1.8244826","0.97790563","0","1763783932360"
